MoleculeType	code	gene
Proteins	UniProt:Q9Y265	RUVBL1
Proteins	UniProt:P25490	YY1
Proteins	UniProt:Q9ULG1	INO80
Proteins	UniProt:Q6P4R8	NFRKB
Proteins	UniProt:O96019	ACTL6A
Proteins	UniProt:Q6ZNA4	RNF111
Proteins	UniProt:P55854	SUMO3
Proteins	UniProt:P61956	SUMO2
Proteins	UniProt:P63165	SUMO1
Proteins	UniProt:Q15819	UBE2V2
Proteins	UniProt:P61088	UBE2N
Proteins	UniProt:O75925	PIAS1
Proteins	UniProt:Q9Y6X2	PIAS3
Proteins	UniProt:P63279	UBE2I
Proteins	UniProt:Q70EL2	USP45
Proteins	UniProt:Q8IYD8	FANCM
Proteins	UniProt:Q9BTP7	FAAP24
Proteins	UniProt:Q9HB96	FANCE
Proteins	UniProt:O15360	FANCA
Proteins	UniProt:Q8N2Z9	CENPS
Proteins	UniProt:A8MT69	CENPX
Proteins	UniProt:Q9NW38	FANCL
Proteins	UniProt:Q9NPI8	FANCF
Proteins	UniProt:O15287	FANCG
Proteins	UniProt:Q00597	FANCC
Proteins	UniProt:Q6NZ36	FAAP20
Proteins	UniProt:Q8NB91	FANCB
Proteins	UniProt:Q0VG06	FAAP100
Proteins	UniProt:Q9NVI1	FANCI
Proteins	UniProt:Q9BXW9	FANCD2
Proteins	UniProt:Q9BQ83	SLX1A
Proteins	UniProt:Q8IY92	SLX4
Proteins	UniProt:A4GXA9	EME2
Proteins	UniProt:Q96NY9	MUS81
Proteins	UniProt:Q96AY2	EME1
Proteins	UniProt:Q9H816	DCLRE1B
Proteins	UniProt:Q6PJP8	DCLRE1A
Proteins	UniProt:Q9Y2M0	FAN1
Proteins	UniProt:Q9NPD8	UBE2T
Proteins	UniProt:Q8WXE1	ATRIP
Proteins	UniProt:Q13535	ATR
Proteins	UniProt:Q7Z5Q5	POLN
Proteins	UniProt:O60934	NBN
Proteins	UniProt:P52292	KPNA2
Proteins	UniProt:P49959	MRE11
Proteins	UniProt:Q92878	RAD50
Proteins	UniProt:Q13315	ATM
Proteins	UniProt:Q92993	KAT5
Proteins	UniProt:P04637	TP53
Proteins	UniProt:Q99728	BARD1
Proteins	UniProt:P38398	BRCA1
Proteins	UniProt:Q04323	UBXN1
Proteins	UniProt:Q8IYW5	RNF168
Proteins	UniProt:Q8N2W9	PIAS4
Proteins	UniProt:O95714	HERC2
Proteins	UniProt:O76064	RNF8
Proteins	UniProt:O75164	KDM4A
Proteins	UniProt:O94953	KDM4B
Proteins	UniProt:P62805	H4C1
Proteins	UniProt:P16104	H2AX
Proteins	UniProt:Q99879	H2BC14
Proteins	UniProt:Q96A08	H2BC1
Proteins	UniProt:P58876	H2BC5
Proteins	UniProt:Q93079	H2BC9
Proteins	UniProt:Q16778	H2BC21
Proteins	UniProt:P23527	H2BC17
Proteins	UniProt:P57053	H2BS1
Proteins	UniProt:Q99877	H2BC15
Proteins	UniProt:P62807	H2BC4
Proteins	UniProt:P06899	H2BC11
Proteins	UniProt:P33778	H2BC3
Proteins	UniProt:O60814	H2BC12
Proteins	UniProt:Q99880	H2BC13
Proteins	UniProt:Q8N257	H2BU1
Proteins	UniProt:Q16695	H3-4
Proteins	UniProt:Q14676	MDC1
Proteins	UniProt:O96028	NSD2
Proteins	UniProt:Q9NWV8	BABAM1
Proteins	UniProt:Q9NXR7	BABAM2
Proteins	UniProt:P46736	BRCC3
Proteins	UniProt:Q96RL1	UIMC1
Proteins	UniProt:Q6UWZ7	ABRAXAS1
Proteins	UniProt:Q12888	TP53BP1
Proteins	UniProt:O95677	EYA4
Proteins	UniProt:Q99504	EYA3
Proteins	UniProt:O00167	EYA2
Proteins	UniProt:Q99502	EYA1
Proteins	UniProt:O96017	CHEK2
Proteins	UniProt:P00519	ABL1
Proteins	UniProt:Q92560	BAP1
Proteins	UniProt:P53041	PPP5C
Proteins	UniProt:O60264	SMARCA5
Proteins	UniProt:Q9UIG0	BAZ1B
Proteins	UniProt:O00213	APBB1
Proteins	UniProt:P45983	MAPK8
Proteins	UniProt:P39748	FEN1
Proteins	UniProt:Q99708	RBBP8
Proteins	UniProt:O75417	POLQ
Proteins	UniProt:Q9NZ71	RTEL1
Proteins	UniProt:Q96B01	RAD51AP1
Proteins	UniProt:Q86YC2	PALB2
Proteins	UniProt:Q06609	RAD51
Proteins	UniProt:P51587	BRCA2
Proteins	UniProt:O43543	XRCC2
Proteins	UniProt:O15315	RAD51B
Proteins	UniProt:O75771	RAD51D
Proteins	UniProt:O43502	RAD51C
Proteins	UniProt:Q9BX63	BRIP1
Proteins	UniProt:P51530	DNA2
Proteins	UniProt:P54132	BLM
Proteins	UniProt:Q13472	TOP3A
Proteins	UniProt:Q96E14	RMI2
Proteins	UniProt:Q9H9A7	RMI1
Proteins	UniProt:Q14191	WRN
Proteins	UniProt:Q9UQ84	EXO1
Proteins	UniProt:O43542	XRCC3
Proteins	UniProt:Q17RS7	GEN1
Proteins	UniProt:Q14159	SPIDR
Proteins	UniProt:O14757	CHEK1
Proteins	UniProt:O75943	RAD17
Proteins	UniProt:Q9BSD3	RHNO1
Proteins	UniProt:Q92547	TOPBP1
Proteins	UniProt:O60921	HUS1
Proteins	UniProt:Q99638	RAD9A
Proteins	UniProt:Q6WBX8	RAD9B
Proteins	UniProt:O60671	RAD1
Proteins	UniProt:P60510	PPP4C
Proteins	UniProt:Q9NY27	PPP4R2
Proteins	UniProt:Q8N6T7	SIRT6
Proteins	UniProt:P20248	CCNA2
Proteins	UniProt:P78396	CCNA1
Proteins	UniProt:P24941	CDK2
Proteins	UniProt:P78317	RNF4
Proteins	UniProt:Q9HAW4	CLSPN
Proteins	UniProt:Q9UNS1	TIMELESS
Proteins	UniProt:Q9BVW5	TIPIN
Proteins	UniProt:P43351	RAD52
Proteins	UniProt:O95551	TDP2
Proteins	UniProt:Q9NUW8	TDP1
Proteins	UniProt:P12956	XRCC6
Proteins	UniProt:P13010	XRCC5
Proteins	UniProt:P78527	PRKDC
Proteins	UniProt:Q96SD1	DCLRE1C
Proteins	UniProt:Q9H9Q4	NHEJ1
Proteins	UniProt:Q13426	XRCC4
Proteins	UniProt:P49917	LIG4
Proteins	UniProt:Q9NP87	POLM
Proteins	UniProt:Q9UGP5	POLL
Proteins	UniProt:Q5UIP0	RIF1
Proteins	UniProt:Q6ZW49	PAXIP1
Proteins	UniProt:Q8TAT5	NEIL3
Proteins	UniProt:O15527	OGG1
Proteins	UniProt:Q9BSI4	TINF2
Proteins	UniProt:Q9NUX5	POT1
Proteins	UniProt:P54274	TERF1
Proteins	UniProt:Q9NYB0	TERF2IP
Proteins	UniProt:Q96AP0	ACD
Proteins	UniProt:Q15554	TERF2
Proteins	UniProt:P0C5Y9	H2AB1
Proteins	UniProt:Q71UI9	H2AZ2
Proteins	UniProt:P0C0S5	H2AZ1
Proteins	UniProt:P20671	H2AC7
Proteins	UniProt:Q9BTM1	H2AJ
Proteins	UniProt:Q16777	H2AC20
Proteins	UniProt:Q93077	H2AC6
Proteins	UniProt:P04908	H2AC4
Proteins	UniProt:Q6FI13	H2AC18
Proteins	UniProt:Q99878	H2AC14
Proteins	UniProt:Q9UIF7-3	MUTYH
Proteins	UniProt:Q9UIF7-6	MUTYH
Proteins	UniProt:P29372	MPG
Proteins	UniProt:O15527-4	OGG1
Proteins	UniProt:P13051-1	UNG
Proteins	UniProt:Q969S2	NEIL2
Proteins	UniProt:Q13569	TDG
Proteins	UniProt:Q53HV7	SMUG1
Proteins	UniProt:Q96FI4	NEIL1
Proteins	UniProt:P78549	NTHL1
Proteins	UniProt:O95243	MBD4
Proteins	UniProt:Q96T60	PNKP
Proteins	UniProt:P06746	POLB
Proteins	UniProt:P27695	APEX1
Proteins	UniProt:Q86W56	PARG
Proteins	UniProt:Q9NX46	ADPRS
Proteins	UniProt:P43246	MSH2
Proteins	UniProt:P52701	MSH6
Proteins	UniProt:P40692	MLH1
Proteins	UniProt:P54278	PMS2
Proteins	UniProt:P20585	MSH3
