chr	start	name	ensembl	Status
1	63988886	ITGB3BP	ENSG00000142856	Unknown
1	65432187	JAK1	ENSG00000162434	tsg
1	76262567	MSH4	ENSG00000057468	Unknown
1	78149104	ZZZ3	ENSG00000036549	Unknown
1	78444776	FUBP1	ENSG00000162613	tsg
1	91966450	CDC7	ENSG00000097046	Unknown
1	93297582	RPL5	ENSG00000122406	tsg
1	93811445	DR1	ENSG00000117505	Unknown
1	100818023	CDC14A	ENSG00000079335	Unknown
1	107599267	PRMT6	ENSG00000198890	Unknown
1	109969062	PSMA5	ENSG00000143106	Unknown
1	111991874	WDR77	ENSG00000116455	Unknown
1	114447763	DCLRE1B	ENSG00000118655	Unknown
1	115259515	NRAS	ENSG00000213281	oncogene
1	115397754	SYCP1	ENSG00000198765	Unknown
1	120596839	NOTCH2	ENSG00000134250	
1	145575989	PIAS3	ENSG00000131788	Unknown
1	146714334	CHD1L	ENSG00000131778	Unknown
1	149783925	HIST2H2BF	ENSG00000203814	Unknown
1	149804227	HIST2H4A	ENSG00000183941	Unknown
1	149812765	HIST2H3C	ENSG00000203811	Unknown
1	149814478	HIST2H2AA3	ENSG00000183558	Unknown
1	149832714	HIST2H4B	ENSG00000182217	Unknown
1	149858232	HIST2H2BE	ENSG00000184678	Unknown
1	149858525	HIST2H2AC	ENSG00000184260	Unknown
1	149859466	HIST2H2AB	ENSG00000184270	Unknown
1	150602052	ENSA	ENSG00000143420	Unknown
1	150898825	SETDB1	ENSG00000143379	Unknown
1	151162634	VPS72	ENSG00000163159	Unknown
1	151227185	PSMD4	ENSG00000159352	Unknown
1	151372010	PSMB4	ENSG00000159377	Unknown
1	153963235	RPS27	ENSG00000177954	Unknown
1	154947175	CKS1B	ENSG00000173207	Unknown
1	155532484	ASH1L	ENSG00000116539	Unknown
1	156084513	LMNA	ENSG00000160789	Unknown
1	156182784	PMF1	ENSG00000160783	Unknown
1	163291725	NUF2	ENSG00000143228	Unknown
1	166845564	TADA1	ENSG00000152382	Unknown
1	169337205	NME7	ENSG00000143156	Unknown
1	169337208	BLZF1	ENSG00000117475	Unknown
1	173793312	CENPL	ENSG00000120334	Unknown
1	176176114	RFWD2	ENSG00000143207	Unknown
1	186344457	TPR	ENSG00000047410	Unknown
1	198126128	NEK7	ENSG00000151414	Unknown
1	201979715	ELF3	ENSG00000163435	possible tsg
1	202311108	UBE2T	ENSG00000077152	Unknown
1	202317856	PPP1R12B	ENSG00000077157	Unknown
1	202778598	KDM5B	ENSG00000117139	Unknown
1	204485534	MDM4	ENSG00000198625	Unknown
1	205091143	RBBP5	ENSG00000117222	Unknown
1	209979465	IRF6	ENSG00000117595	possible tsg
1	211848933	NEK2	ENSG00000117650	Unknown
1	212208919	DTL	ENSG00000143476	Unknown
1	212458879	PPP2R5A	ENSG00000066027	Unknown
1	212965124	NSL1	ENSG00000117697	Unknown
1	214454576	SMYD2	ENSG00000143499	Unknown
1	214776538	CENPF	ENSG00000117724	Unknown
1	226249552	H3F3A	ENSG00000163041	possible oncogene
1	226496955	LIN9	ENSG00000183814	Unknown
1	226595774	PARP1	ENSG00000143799	Unknown
1	228613026	HIST3H3	ENSG00000168148	Unknown
1	228645560	HIST3H2A	ENSG00000181218	Unknown
1	228645808	HIST3H2BB	ENSG00000196890	Unknown
1	229644103	NUP133	ENSG00000069248	Unknown
1	229750229	TAF5L	ENSG00000135801	Unknown
1	231474002	SPRTN	ENSG00000010072	Unknown
1	235491534	ARID4B	ENSG00000054267	Unknown
1	242011482	EXO1	ENSG00000174371	Unknown
1	243419358	SDCCAG8	ENSG00000054282	Unknown
1	244006886	AKT3	ENSG00000117020	Unknown
1	246670519	SMYD3	ENSG00000185420	Unknown
1	247094665	AHCTF1	ENSG00000153207	Unknown
10	95209	TUBB8	ENSG00000173876	Unknown
10	8096656	GATA3	ENSG00000107485	possible tsg
10	13142173	OPTN	ENSG00000123240	Unknown
10	13203579	MCM10	ENSG00000065328	Unknown
10	14920888	SUV39H2	ENSG00000152455	Unknown
10	14996057	DCLRE1C	ENSG00000152457	Unknown
10	27443753	MASTL	ENSG00000120539	Unknown
10	32667726	EPC1	ENSG00000120616	Unknown
10	49609704	MAPK8	ENSG00000107643	Unknown
10	50747072	ERCC6	ENSG00000225830	Unknown
10	51130715	PARG	ENSG00000227345	Unknown
10	58121036	ZWINT	ENSG00000122952	Unknown
10	60094735	UBE2D1	ENSG00000072401	Unknown
10	62538212	CDK1	ENSG00000170312	Unknown
10	63808970	ARID5B	ENSG00000150347	Unknown
10	70231672	DNA2	ENSG00000138346	Unknown
10	73975694	ASCC1	ENSG00000138303	Unknown
10	73975806	ANAPC16	ENSG00000166295	Unknown
10	76586400	KAT6B	ENSG00000156650	Unknown
10	88230766	WAPAL	ENSG00000062650	Unknown
10	89622870	PTEN	ENSG00000171862	tsg
10	103113820	BTRC	ENSG00000166167	Unknown
10	103347883	POLL	ENSG00000166169	Unknown
10	104154354	NFKB2	ENSG00000077150	Unknown
10	104262468	ACTR1A	ENSG00000138107	Unknown
10	112327449	SMC3	ENSG00000108055	Unknown
10	115614142	DCLRE1A	ENSG00000198924	Unknown
10	123357966	FGFR2	ENSG00000066468	oncogene
10	124913909	BUB3	ENSG00000154473	Unknown
10	131265448	MGMT	ENSG00000170430	
10	133753533	PPP2R2D	ENSG00000175470	Unknown
10	135122382	TUBGCP2	ENSG00000130640	Unknown
10	135381795	SYCE1	ENSG00000171772	Unknown
11	236546	PSMD13	ENSG00000185627	Unknown
11	535534	HRAS	ENSG00000174775	oncogene
11	842545	POLR2L	ENSG00000177700	Unknown
11	2907001	CDKN1C	ENSG00000129757	Unknown
11	3818688	NUP98	ENSG00000110713	Unknown
11	6425894	APBB1	ENSG00000166313	Unknown
11	6633898	TAF10	ENSG00000166337	Unknown
11	9596234	WEE1	ENSG00000166483	Unknown
11	14541890	PSMA1	ENSG00000129084	Unknown
11	18359764	GTF2H1	ENSG00000110768	Unknown
11	20409262	PRMT3	ENSG00000185238	Unknown
11	22647387	FANCF	ENSG00000183161	Unknown
11	28129855	KIF18A	ENSG00000121621	Unknown
11	31531325	ELP4	ENSG00000109911	Unknown
11	32457176	WT1	ENSG00000184937	possible oncogene
11	43902389	ALKBH3	ENSG00000166199	Unknown
11	46142729	PHF21A	ENSG00000135365	Unknown
11	46867780	CKAP5	ENSG00000175216	Unknown
11	47236493	DDB2	ENSG00000134574	Unknown
11	47447817	PSMC3	ENSG00000165916	Unknown
11	47869882	NUP160	ENSG00000030066	Unknown
11	57335280	UBE2L6	ENSG00000156587	Unknown
11	57529273	CTNND1	ENSG00000198561	tsg
11	60674060	PRPF19	ENSG00000110107	Unknown
11	61070829	DDB1	ENSG00000167986	Unknown
11	61560109	FEN1	ENSG00000168496	Unknown
11	61891445	INCENP	ENSG00000149503	Unknown
11	62369312	MTA2	ENSG00000149480	Unknown
11	62529016	POLR2G	ENSG00000168002	Unknown
11	62538775	TAF6L	ENSG00000162227	Unknown
11	64545941	SF1	ENSG00000168066	possible oncogene
11	64692143	PPP2R5B	ENSG00000068971	Unknown
11	64851519	CDCA5	ENSG00000146670	Unknown
11	65029233	POLA2	ENSG00000014138	Unknown
11	65430366	RELA	ENSG00000173039	Unknown
11	65479505	KAT5	ENSG00000172977	Unknown
11	65627876	MUS81	ENSG00000172732	Unknown
11	65769550	BANF1	ENSG00000175334	Unknown
11	66036061	RAB1B	ENSG00000174903	Unknown
11	66112590	BRMS1	ENSG00000174744	Unknown
11	66887158	KDM2A	ENSG00000173120	Unknown
11	67121017	POLD4	ENSG00000175482	Unknown
11	67159423	RAD9A	ENSG00000172613	Unknown
11	67980753	SUV420H1	ENSG00000110066	Unknown
11	69455855	CCND1	ENSG00000110092	possible oncogene
11	71791561	NUMA1	ENSG00000137497	Unknown
11	71823732	ANAPC15	ENSG00000110200	Unknown
11	71935825	INPPL1	ENSG00000165458	possible tsg
11	73882144	PPME1	ENSG00000214517	Unknown
11	74303650	POLD3	ENSG00000077514	Unknown
11	77531880	RSF1	ENSG00000048649	Unknown
11	85955586	EED	ENSG00000074266	Unknown
11	94227000	MRE11A	ENSG00000020922	Unknown
11	94706987	KDM4D	ENSG00000186280	Unknown
11	95523642	CEP57	ENSG00000166037	Unknown
11	101000458	PGR	ENSG00000082175	possible tsg
11	108093843	ATM	ENSG00000149311	tsg
11	111637092	PPP2R1B	ENSG00000137713	Unknown
11	112038095	TEX12	ENSG00000150783	Unknown
11	113644533	ZW10	ENSG00000086827	Unknown
11	117198571	CEP164	ENSG00000110274	Unknown
11	118966177	H2AFX	ENSG00000188486	Unknown
11	125495875	CHEK1	ENSG00000149554	Unknown
11	129762771	NFRKB	ENSG00000170322	Unknown
11	134093885	NCAPD3	ENSG00000151503	Unknown
12	498620	KDM5A	ENSG00000073614	Unknown
12	1058888	RAD52	ENSG00000002016	Unknown
12	2986152	FOXM1	ENSG00000111206	Unknown
12	2986381	RHNO1	ENSG00000171792	Unknown
12	4382938	CCND2	ENSG00000118971	Unknown
12	4648049	RAD51AP1	ENSG00000111247	Unknown
12	6603265	NCAPD2	ENSG00000010292	Unknown
12	6716551	CHD4	ENSG00000111642	possible oncogene
12	6772308	ING4	ENSG00000111653	Unknown
12	6833464	COPS7A	ENSG00000111652	Unknown
12	12870756	CDKN1B	ENSG00000111276	possible tsg
12	14518663	ATF7IP	ENSG00000171681	tsg
12	14924065	HIST4H4	ENSG00000197837	Unknown
12	14927270	H2AFJ	ENSG00000246705	Unknown
12	19592633	AEBP2	ENSG00000139154	Unknown
12	25403870	KRAS	ENSG00000133703	oncogene
12	31945175	H3F3C	ENSG00000188375	
12	46123699	ARID2	ENSG00000189079	tsg
12	49075941	KANSL2	ENSG00000139620	Unknown
12	49449107	KMT2D	ENSG00000167548	tsg
12	49525178	TUBA1B	ENSG00000123416	Unknown
12	49582849	TUBA1A	ENSG00000167552	Unknown
12	49621709	TUBA1C	ENSG00000167553	Unknown
12	49961914	MCRS1	ENSG00000187778	Unknown
12	50482018	SMARCD1	ENSG00000066117	Unknown
12	52347164	ACVR1B	ENSG00000135503	possible tsg
12	53662119	ESPL1	ENSG00000135476	Unknown
12	53715415	AAAS	ENSG00000094914	Unknown
12	54582764	SMUG1	ENSG00000123415	Unknown
12	54778457	ZNF385A	ENSG00000161642	Unknown
12	56360615	CDK2	ENSG00000123374	Unknown
12	56489775	ERBB3	ENSG00000065361	possible oncogene
12	56583332	SMARCC2	ENSG00000139613	Unknown
12	56843180	TIMELESS	ENSG00000111602	Unknown
12	57146119	PRIM1	ENSG00000198056	Unknown
12	57940992	DCTN2	ENSG00000175203	Unknown
12	58146136	CDK4	ENSG00000135446	oncogene
12	65563351	LEMD3	ENSG00000174106	Unknown
12	69081235	NUP107	ENSG00000111581	Unknown
12	69202002	MDM2	ENSG00000135679	Unknown
12	69753490	YEATS4	ENSG00000127337	Unknown
12	76427712	PHLDA1	ENSG00000139289	Unknown
12	80328711	PPP1R12A	ENSG00000058272	Unknown
12	88497965	CEP290	ENSG00000198707	Unknown
12	93835719	UBE2N	ENSG00000177889	Unknown
12	97301244	NEDD1	ENSG00000139350	Unknown
12	98909409	TMPO	ENSG00000120802	Unknown
12	102133191	SYCP3	ENSG00000139351	Unknown
12	102513902	NUP37	ENSG00000075188	Unknown
12	104359623	TDG	ENSG00000139372	Unknown
12	109530594	ALKBH2	ENSG00000189046	Unknown
12	109535379	UNG	ENSG00000076248	Unknown
12	110841535	ANAPC7	ENSG00000196510	Unknown
12	110940096	RAD9B	ENSG00000151164	Unknown
12	111180678	PPP1CC	ENSG00000186298	Unknown
12	112856713	PTPN11	ENSG00000179295	oncogene
12	115121969	TBX3	ENSG00000135111	possible tsg
12	118454508	RFC5	ENSG00000111445	Unknown
12	118814185	SUDS3	ENSG00000111707	Unknown
12	120933859	DYNLL1	ENSG00000088986	Unknown
12	122018859	KDM2B	ENSG00000089094	Unknown
12	122242638	SETD1B	ENSG00000139718	Unknown
12	122326677	PSMD9	ENSG00000110801	Unknown
12	122907116	CLIP1	ENSG00000130779	Unknown
12	123086944	KNTC1	ENSG00000184445	Unknown
12	123868320	SETD8	ENSG00000183955	Unknown
12	124118376	GTF2H3	ENSG00000111358	Unknown
12	125020149	NCOR2	ENSG00000196498	Unknown
12	125399196	UBC	ENSG00000150991	Unknown
12	132434508	EP400	ENSG00000183495	Unknown
12	133263914	POLE	ENSG00000177084	
12	133338474	ANKLE2	ENSG00000176915	Unknown
13	19755992	TUBA3C	ENSG00000198033	Unknown
13	21714653	SAP18	ENSG00000150459	Unknown
13	25496974	CENPJ	ENSG00000151849	Unknown
13	25875662	NUPL1	ENSG00000139496	Unknown
13	32889617	BRCA2	ENSG00000139618	possible tsg
13	33160564	PDS5B	ENSG00000083642	Unknown
13	34392206	RFC3	ENSG00000133119	Unknown
13	37005967	CCNA1	ENSG00000133101	Unknown
13	37633786	SUPT20H	ENSG00000102710	Unknown
13	48877911	RB1	ENSG00000139687	tsg
13	50018429	SETDB2	ENSG00000136169	Unknown
13	73301825	MZT1	ENSG00000204899	Unknown
13	73302061	BORA	ENSG00000136122	Unknown
13	73632930	KLF5	ENSG00000102554	possible oncogene
13	103497194	ERCC5	ENSG00000134899	Unknown
13	108870716	LIG4	ENSG00000174405	Unknown
13	113242481	TUBGCP3	ENSG00000126216	Unknown
13	113863858	CUL4A	ENSG00000139842	Unknown
13	114239013	TFDP1	ENSG00000198176	Unknown
13	115000452	CDC16	ENSG00000130177	Unknown
14	20811796	PARP2	ENSG00000129484	Unknown
14	20923354	APEX1	ENSG00000100823	Unknown
14	21924239	CHD8	ENSG00000100888	tsg
14	23398794	PRMT5	ENSG00000100462	Unknown
14	23426338	HAUS4	ENSG00000092036	Unknown
14	23446432	AJUBA	ENSG00000129474	tsg
14	23504354	PSMB5	ENSG00000100804	Unknown
14	23511376	PSMB11	ENSG00000222028	Unknown
14	24605409	PSME1	ENSG00000092010	Unknown
14	24616430	PSME2	ENSG00000100911	Unknown
14	24641234	REC8	ENSG00000100918	Unknown
14	24711811	TINF2	ENSG00000092330	Unknown
14	35747839	PSMA6	ENSG00000100902	Unknown
14	36789833	MBIP	ENSG00000151332	Unknown
14	38069245	FOXA1	ENSG00000129514	possible oncogene
14	45605157	FANCM	ENSG00000187790	Unknown
14	45722605	MIS18BP1	ENSG00000129534	Unknown
14	50155140	POLE2	ENSG00000100479	Unknown
14	53173922	PSMC6	ENSG00000100519	Unknown
14	58711549	PSMA3	ENSG00000100567	Unknown
14	58766255	ARID4A	ENSG00000032219	Unknown
14	61201480	MNAT1	ENSG00000020426	Unknown
14	63974955	PPP2R5E	ENSG00000154001	Unknown
14	64682150	SYNE2	ENSG00000054654	Unknown
14	65007186	HSPA2	ENSG00000126803	Unknown
14	65569105	MAX	ENSG00000125952	Unknown
14	68290261	RAD51B	ENSG00000182185	Unknown
14	74551499	LIN52	ENSG00000205659	Unknown
14	75518235	MLH3	ENSG00000119684	Unknown
14	75593783	NEK9	ENSG00000119638	Unknown
14	90422246	TDP1	ENSG00000042088	Unknown
14	90722839	PSMC1	ENSG00000100764	Unknown
14	92572965	ATXN3	ENSG00000066427	possible tsg
14	97263641	VRK1	ENSG00000100749	Unknown
14	99947127	SETD3	ENSG00000183576	Unknown
14	100705322	YY1	ENSG00000100811	Unknown
14	102276206	PPP2R5C	ENSG00000078304	Unknown
14	102430865	DYNC1H1	ENSG00000197102	Unknown
14	102552668	HSP90AA1	ENSG00000080824	Unknown
14	103058998	RCOR1	ENSG00000089902	Unknown
14	103243939	TRAF3	ENSG00000131323	tsg
14	104181780	XRCC3	ENSG00000126215	Unknown
14	105239828	AKT1	ENSG00000142208	oncogene
15	22833395	TUBGCP5	ENSG00000153575	Unknown
15	31196095	FAN1	ENSG00000198690	Unknown
15	35262040	AQR	ENSG00000021776	Unknown
15	40453268	BUB1B	ENSG00000156970	Unknown
15	40886218	CASC5	ENSG00000137812	Unknown
15	40987372	RAD51	ENSG00000051180	Unknown
15	41408351	INO80	ENSG00000128908	Unknown
15	41624819	OIP5	ENSG00000104147	Unknown
15	41952610	MGA	ENSG00000174197	tsg
15	42841032	HAUS2	ENSG00000137814	Unknown
15	43663299	TUBGCP4	ENSG00000137822	Unknown
15	43802812	TP53BP1	ENSG00000067369	Unknown
15	45003715	B2M	ENSG00000166710	possible tsg
15	49103184	CEP152	ENSG00000103995	Unknown
15	49447801	COPS2	ENSG00000166200	Unknown
15	52849941	ARPP19	ENSG00000128989	Unknown
15	57210892	TCF12	ENSG00000140262	tsg
15	59279854	RNF111	ENSG00000157450	tsg
15	59397277	CCNB2	ENSG00000157456	Unknown
15	64673709	KIAA0101	ENSG00000166803	Unknown
15	66649054	TIPIN	ENSG00000075131	Unknown
15	66745792	MAP2K1	ENSG00000169032	oncogene
15	66797633	ZWILCH	ENSG00000174442	Unknown
15	68346517	PIAS1	ENSG00000033800	Unknown
15	69706688	KIF23	ENSG00000137807	Unknown
15	75639960	NEIL1	ENSG00000140398	Unknown
15	75744045	SIN3A	ENSG00000169375	possible tsg
15	78832820	PSMA4	ENSG00000041357	Unknown
15	79102829	MORF4L1	ENSG00000185787	Unknown
15	89787198	FANCI	ENSG00000140525	Unknown
15	90645709	IDH2	ENSG00000182054	possible oncogene
15	91260558	BLM	ENSG00000197299	Unknown
16	128256	MPG	ENSG00000103152	Unknown
16	402449	AXIN1	ENSG00000103126	tsg
16	1363996	UBE2I	ENSG00000103275	Unknown
16	1823208	EME2	ENSG00000197774	Unknown
16	2014813	RPS2	ENSG00000140988	Unknown
16	2097867	NTHL1	ENSG00000065057	Unknown
16	3030440	PKMYT1	ENSG00000127564	Unknown
16	3661599	SLX4	ENSG00000188827	Unknown
16	3930121	CREBBP	ENSG00000005339	tsg
16	9030586	USP7	ENSG00000187555	Unknown
16	11343506	RMI2	ENSG00000175643	Unknown
16	14014014	ERCC4	ENSG00000175595	Unknown
16	15744084	NDE1	ENSG00000072864	Unknown
16	19535179	CCP110	ENSG00000103540	Unknown
16	23652631	PALB2	ENSG00000083093	Unknown
16	23690143	PLK1	ENSG00000166851	Unknown
16	23847322	PRKCB	ENSG00000166501	Unknown
16	25123056	LCMT1	ENSG00000205629	Unknown
16	28565247	CCDC101	ENSG00000176476	Unknown
16	29465883	SLX1B	ENSG00000181625	Unknown
16	30007036	INO80E	ENSG00000169592	Unknown
16	30087311	PPP4C	ENSG00000149923	Unknown
16	30134530	MAPK3	ENSG00000102882	Unknown
16	30205225	SLX1A	ENSG00000132207	Unknown
16	30968615	SETD1A	ENSG00000099381	Unknown
16	31127075	KAT8	ENSG00000103510	Unknown
16	46723558	ORC6	ENSG00000091651	Unknown
16	50059182	CNEP1R1	ENSG00000205423	Unknown
16	50402690	BRD7	ENSG00000166164	tsg
16	53483988	RBL2	ENSG00000103479	Unknown
16	53920829	FTO	ENSG00000140718	Unknown
16	56764042	NUP93	ENSG00000102900	Unknown
16	57496299	POLR2C	ENSG00000102978	Unknown
16	58231824	CSNK2A2	ENSG00000070770	Unknown
16	58426298	GINS3	ENSG00000181938	Unknown
16	58549386	SETD6	ENSG00000103037	Unknown
16	66785504	DYNC1LI2	ENSG00000135720	Unknown
16	67063050	CBFB	ENSG00000067955	possible tsg
16	67226072	E2F4	ENSG00000205250	Unknown
16	67596310	CTCF	ENSG00000102974	tsg
16	67694646	ACD	ENSG00000102977	Unknown
16	67867799	CENPT	ENSG00000102901	Unknown
16	67970990	PSMB10	ENSG00000205220	Unknown
16	68345035	PRMT7	ENSG00000132600	Unknown
16	68771128	CDH1	ENSG00000039068	tsg
16	69419873	TERF2	ENSG00000132604	Unknown
16	74330727	PSMD7	ENSG00000103035	Unknown
16	75681684	TERF2IP	ENSG00000166848	Unknown
16	81040849	CENPN	ENSG00000166451	Unknown
16	84733610	USP10	ENSG00000103194	Unknown
16	85722605	GINS2	ENSG00000131153	Unknown
16	88869621	CDT1	ENSG00000167513	Unknown
16	89883054	FANCA	ENSG00000187741	Unknown
16	89996843	TUBB3	ENSG00000258947	Unknown
17	1303475	YWHAE	ENSG00000108953	Unknown
17	1733278	RPA1	ENSG00000132383	Unknown
17	2497040	PAFAH1B1	ENSG00000007168	Unknown
17	4699439	PSMB6	ENSG00000142507	Unknown
17	5323480	NUP88	ENSG00000108559	Unknown
17	5389716	MIS12	ENSG00000167842	Unknown
17	7155372	ELP5	ENSG00000170291	Unknown
17	7155400	CTDNEP1	ENSG00000175826	Unknown
17	7218883	GPS2	ENSG00000132522	tsg
17	7387685	POLR2A	ENSG00000181222	Unknown
17	7589389	WRAP53	ENSG00000141499	Unknown
17	7590799	TP53	ENSG00000141510	tsg
17	7743280	KDM6B	ENSG00000132510	Unknown
17	7792109	CHD3	ENSG00000170004	possible tsg
17	8113916	AURKB	ENSG00000178999	Unknown
17	8339226	NDEL1	ENSG00000166579	Unknown
17	9548854	USP43	ENSG00000154914	Unknown
17	11924151	MAP2K4	ENSG00000065559	tsg
17	15983321	NCOR1	ENSG00000141027	tsg
17	16284655	UBB	ENSG00000170315	Unknown
17	17184014	COPS3	ENSG00000141030	Unknown
17	18087553	ALKBH5	ENSG00000091542	Unknown
17	18218238	TOP3A	ENSG00000177302	Unknown
17	20947073	USP22	ENSG00000124422	Unknown
17	27717949	TAOK1	ENSG00000160551	Unknown
17	29421945	NF1	ENSG00000196712	tsg
17	30186093	COPRS	ENSG00000172301	Unknown
17	30264086	SUZ12	ENSG00000178691	Unknown
17	30771279	PSMD11	ENSG00000108671	Unknown
17	33288549	ZNF830	ENSG00000198783	Unknown
17	33307565	LIG3	ENSG00000005156	Unknown
17	33446832	RAD51D	ENSG00000185379	Unknown
17	35767311	TADA2A	ENSG00000108264	Unknown
17	36908989	PSMB3	ENSG00000108294	Unknown
17	37618014	CDK12	ENSG00000167258	tsg
17	37863002	ERBB2	ENSG00000141736	oncogene
17	38137089	PSMD3	ENSG00000108344	Unknown
17	38278551	MSL1	ENSG00000188895	Unknown
17	38443885	CDC6	ENSG00000094804	Unknown
17	38497640	RARA	ENSG00000131759	
17	38574202	TOP2A	ENSG00000131747	Unknown
17	38804070	SMARCE1	ENSG00000073584	Unknown
17	38821393	KRT222	ENSG00000213424	possible tsg
17	40729849	PSMC3IP	ENSG00000131470	Unknown
17	40761694	TUBG1	ENSG00000131462	Unknown
17	40811323	TUBG2	ENSG00000037042	Unknown
17	40985435	PSME3	ENSG00000131467	Unknown
17	41277468	BRCA1	ENSG00000012048	tsg
17	42275747	ATXN7L3	ENSG00000087152	Unknown
17	44270272	KANSL1	ENSG00000120071	tsg
17	45266632	CDC27	ENSG00000004897	Unknown
17	47755472	SPOP	ENSG00000121067	oncogene
17	47866745	KAT7	ENSG00000136504	Unknown
17	48452546	EME1	ENSG00000154920	Unknown
17	51900239	KIF2B	ENSG00000141200	Unknown
17	54991399	TRIM25	ENSG00000121060	Unknown
17	56160776	DYNLL2	ENSG00000264364	Unknown
17	56493002	RNF43	ENSG00000108375	tsg
17	56769934	RAD51C	ENSG00000108384	Unknown
17	57232555	SKA2	ENSG00000182628	Unknown
17	59940882	BRIP1	ENSG00000136492	Unknown
17	61905238	PSMC5	ENSG00000087191	Unknown
17	61919826	SMARCD2	ENSG00000108604	Unknown
17	63557765	AXIN2	ENSG00000168646	possible tsg
17	64298944	PRKCA	ENSG00000154229	Unknown
17	65362721	PSMD12	ENSG00000197170	Unknown
17	66031635	KPNA2	ENSG00000182481	Unknown
17	70117161	SOX9	ENSG00000125398	possible tsg
17	73178658	SUMO2	ENSG00000188612	Unknown
17	73201815	NUP85	ENSG00000125450	Unknown
17	73781567	H3F3B	ENSG00000132475	Unknown
17	74722585	JMJD6	ENSG00000070495	Unknown
17	76183314	TK1	ENSG00000167900	Unknown
17	76210361	BIRC5	ENSG00000089685	Unknown
17	79196745	AZI1	ENSG00000141577	Unknown
17	79519429	C17orf70	ENSG00000185504	Unknown
17	79604086	NPLOC4	ENSG00000182446	Unknown
17	79849622	ANAPC11	ENSG00000141552	Unknown
17	79980755	STRA13	ENSG00000169689	Unknown
17	80009778	GPS1	ENSG00000169727	Unknown
17	80231607	CSNK1D	ENSG00000141551	Unknown
17	80798454	ZNF750	ENSG00000141579	possible tsg
18	50240	RP11-683L23.1	ENSG00000173213	Unknown
18	657604	TYMS	ENSG00000176890	Unknown
18	2571510	NDC80	ENSG00000080986	Unknown
18	3011945	LPIN2	ENSG00000101577	Unknown
18	12308246	TUBB6	ENSG00000176014	Unknown
18	12702721	CEP76	ENSG00000101624	Unknown
18	12948020	SEH1L	ENSG00000085415	Unknown
18	13029786	CEP192	ENSG00000101639	Unknown
18	19180697	ESCO1	ENSG00000141446	Unknown
18	20596759	RBBP8	ENSG00000101773	Unknown
18	20735789	CABLES1	ENSG00000134508	Unknown
18	23713838	PSMA8	ENSG00000154611	Unknown
18	33077613	INO80C	ENSG00000153391	Unknown
18	33709854	ELP2	ENSG00000134759	Unknown
18	42260138	SETBP1	ENSG00000152217	possible oncogene
18	43684298	HAUS1	ENSG00000152240	Unknown
18	45423182	SMAD2	ENSG00000175387	possible tsg
18	47901365	SKA1	ENSG00000154839	Unknown
18	48573417	SMAD4	ENSG00000141646	tsg
18	51795889	POLI	ENSG00000101751	Unknown
18	60986613	BCL2	ENSG00000171791	
19	1095598	POLR2E	ENSG00000099817	Unknown
19	1205740	STK11	ENSG00000118046	tsg
19	1407568	DAZAP1	ENSG00000071626	possible tsg
19	1592882	MBD3	ENSG00000071655	Unknown
19	2164148	DOT1L	ENSG00000104885	Unknown
